assists,bountyLevel,champExperience,champLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,goldEarned,goldSpent,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
15,0,9557,12,8,802,1707,802,5091,2,6,0,7365,6700,0,0,0,0,0,731,9263,3171,5445,0,0,3631,230,3577,0,0,79,61,34,5,25,1749,12895,3402,1159,9359,20689,15551,11,168,44,5,0,0,0,336,56,6,7,25,TRUE,NA1_4492021720
1,0,6174,10,6,0,0,0,4784,3,3,0,4270,3850,0,0,0,0,0,673,5354,1853,6100,0,0,2348,426,2691,0,0,47,34,19,4,20,1350,7702,2280,552,9106,8825,7110,13,113,37,5,0,0,0,314,22,4,3,13,FALSE,NA1_4491999936
5,0,9419,12,8,141,697,141,6455,4,4,0,5444,4900,0,0,0,0,0,654,9461,2623,6986,0,0,4427,447,4231,0,0,46,87,80,6,12,1800,14771,3952,3228,12005,12242,8516,9,21,94,5,0,882,882,787,41,6,2,19,FALSE,NA1_4491948568
17,4,13723,15,6,3386,4995,3386,9060,9,3,1,11527,10700,2,9,0,4,2,221,81761,20017,6719,4,0,10166,1170,8708,0,0,58,54,174,19,33,1868,96730,22220,5309,17165,441,0,123,258,248,1,0,4802,1032,1736,41,4,3,11,TRUE,NA1_4491771245
9,0,8103,11,6,866,1026,866,7991,4,4,0,6266,6035,0,0,0,0,0,467,11601,4151,4062,4,0,2614,703,7467,0,0,67,70,34,7,38,1677,14216,4854,926,11863,21624,16561,10,199,92,5,0,0,0,334,56,4,4,26,FALSE,NA1_4491738029
23,0,9925,12,7,1216,2634,1216,6884,2,4,0,7517,6325,0,0,0,0,0,515,9377,3202,2826,0,0,2419,582,7709,0,0,93,30,65,5,44,1540,12021,4009,5526,10549,21291,17463,12,245,26,20,0,224,224,14,63,5,5,26,TRUE,NA1_4491273557
6,0,7673,11,6,0,215,0,4848,5,4,0,5280,4900,0,0,0,0,0,461,7653,4378,3328,0,0,2755,1097,6399,0,0,42,53,75,6,12,1558,10590,5657,2705,10771,6436,4159,6,29,85,5,0,181,181,1043,34,4,4,19,FALSE,NA1_4491258807
0,0,3792,7,4,0,1825,0,1894,2,2,0,2969,2400,0,0,0,0,0,662,2086,1369,314,0,0,1952,307,2883,0,0,14,13,25,2,4,967,5864,1807,502,3320,504,234,9,9,22,3,0,1825,130,122,9,2,0,5,FALSE,NA1_4491231581
1,0,3734,7,4,54,54,54,1659,3,2,0,2982,2400,0,0,0,0,0,348,3401,858,2394,0,0,2424,147,1121,0,0,39,14,9,2,7,942,5826,1006,135,3663,3718,2981,8,69,38,5,0,0,0,147,13,2,2,5,FALSE,NA1_4491217870
15,0,11731,14,11,219,698,219,11430,8,8,0,8093,7675,0,1,0,0,1,844,16579,3456,10111,0,0,5591,1145,8302,0,0,113,54,34,7,36,2116,27952,5099,1139,20617,21071,15273,22,241,236,7,0,5781,496,2204,83,9,7,46,FALSE,NA1_4491172288
17,0,11077,13,15,517,517,517,9321,8,11,0,7619,7000,0,0,0,0,0,800,11324,3236,8285,0,0,2266,355,10060,0,0,69,65,31,8,39,1857,14269,4014,1546,19240,25505,20463,6,201,271,5,0,679,421,894,53,13,4,32,FALSE,NA1_4491132074
15,0,13573,15,12,462,2686,462,5296,3,7,0,8585,7600,0,0,0,0,0,568,9947,1806,3723,4,0,5657,262,4084,0,0,67,44,21,7,16,2074,21604,2991,1249,8197,18098,12721,33,104,50,5,0,5999,922,390,73,8,7,32,TRUE,NA1_4491021399
